Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#1[4],Subject#1[5],Subject#1[6],Subject#1[7],Subject#1[8],Subject#1[9],Subject#1[10],Subject#1[11],Subject#1[12],Subject#1[13],Subject#1[14],Subject#1[15],Subject#1[16],Subject#1[17],Subject#1[18],Subject#1[19],Subject#2[1],Subject#2[2],Subject#2[3],Subject#2[4],Subject#2[5],Subject#2[6],Subject#2[7],Subject#2[8],Subject#2[9],Subject#2[10],Subject#2[11],Subject#2[12],Subject#2[13],Subject#2[14],Subject#2[15],Subject#2[16],Subject#2[17],Subject#2[18],Subject#2[19],Subject#3[1],Subject#3[2],Subject#3[3],Subject#3[4],Subject#3[5],Subject#3[6],Subject#3[7],Subject#3[8],Subject#3[9],Subject#3[10],Subject#3[11],Subject#3[12],Subject#3[13],Subject#3[14],Subject#3[15],Subject#3[16],Subject#3[17],Subject#3[18],Subject#3[19],Subject#4[1],Subject#4[2],Subject#4[3],Subject#4[4],Subject#4[5],Subject#4[6],Subject#4[7],Subject#4[8],Subject#4[9],Subject#4[10],Subject#4[11],Subject#4[12],Subject#4[13],Subject#4[14],Subject#4[15],Subject#4[16],Subject#4[17],Subject#4[18],Subject#4[19],Subject#5[1],Subject#5[2],Subject#5[3],Subject#5[4],Subject#5[5],Subject#5[6],Subject#5[7],Subject#5[8],Subject#5[9],Subject#5[10],Subject#5[11],Subject#5[12],Subject#5[13],Subject#5[14],Subject#5[15],Subject#5[16],Subject#5[17],Subject#5[18],Subject#5[19],Subject#6[1],Subject#6[2],Subject#6[3],Subject#6[4],Subject#6[5],Subject#6[6],Subject#6[7],Subject#6[8],Subject#6[9],Subject#6[10],Subject#6[11],Subject#6[12],Subject#6[13],Subject#6[14],Subject#6[15],Subject#6[16],Subject#6[17],Subject#6[18],Subject#6[19],Subject#7[1],Subject#7[2],Subject#7[3],Subject#7[4],Subject#7[5],Subject#7[6],Subject#7[7],Subject#7[8],Subject#7[9],Subject#7[10],Subject#7[11],Subject#7[12],Subject#7[13],Subject#7[14],Subject#7[15],Subject#7[16],Subject#7[17],Subject#7[18],Subject#7[19],Subject#8[1],Subject#8[2],Subject#8[3],Subject#8[4],Subject#8[5],Subject#8[6],Subject#8[7],Subject#8[8],Subject#8[9],Subject#8[10],Subject#8[11],Subject#8[12],Subject#8[13],Subject#8[14],Subject#8[15],Subject#8[16],Subject#8[17],Subject#8[18],Subject#8[19],Subject#9[1],Subject#9[2],Subject#9[3],Subject#9[4],Subject#9[5],Subject#9[6],Subject#9[7],Subject#9[8],Subject#9[9],Subject#9[10],Subject#9[11],Subject#9[12],Subject#9[13],Subject#9[14],Subject#9[15],Subject#9[16],Subject#9[17],Subject#9[18],Subject#9[19],Subject#10[1],Subject#10[2],Subject#10[3],Subject#10[4],Subject#10[5],Subject#10[6],Subject#10[7],Subject#10[8],Subject#10[9],Subject#10[10],Subject#10[11],Subject#10[12],Subject#10[13],Subject#10[14],Subject#10[15],Subject#10[16],Subject#10[17],Subject#10[18],Subject#10[19]
1,798,79,1.000000,1.418830,1.803501,0.951636,1.165224,0.838604,-0.061745,0.900349,1.865246,1.013381,1.226969,1.480575,1.297304,-0.580225,-0.964897,-0.113032,-0.326620,0.384671,-0.467194,-0.253605,0.137688,0.092529,0.024545,0.234879,0.214085,0.089994,0.124092,0.002536,-0.065448,0.144885,0.047695,0.050752,0.076397,0.121556,0.189540,-0.020793,-0.045159,-0.113143,0.097190,0.667104,0.220687,0.564990,0.232610,0.547416,0.792050,-0.244633,-0.571362,-0.227060,-0.559440,-0.124946,-0.345488,-0.119688,0.326729,-0.017573,0.314807,-0.446417,-0.102115,-0.434495,0.347111,0.488682,0.748387,0.720112,0.478606,0.024740,0.453866,0.463943,0.723647,0.695372,0.322371,0.531840,0.131495,-0.010076,-0.269781,-0.241506,0.141571,0.401276,0.373001,-0.119525,0.011662,0.222296,0.405579,-0.098087,0.179723,-0.277809,-0.168061,0.042574,0.225856,-0.299248,-0.095338,0.021438,-0.109748,-0.320383,-0.503666,0.131187,0.341821,0.525104,0.340680,0.636991,0.418841,0.418260,0.629604,0.884206,-0.254602,-0.247215,-0.465365,-0.465946,-0.543526,-0.395331,0.288924,-0.007387,0.210763,0.211345,0.296311,0.078161,0.077580,0.140476,0.069394,0.455075,0.473129,0.399187,-0.172697,0.571883,0.242091,0.627771,0.645826,0.313173,0.480149,0.258711,0.329793,-0.055888,-0.073943,-0.071082,0.314599,0.332653,2.012039,0.886741,0.998616,1.168140,0.667509,0.768039,-0.100529,0.118703,0.230577,0.400101,1.244000,0.378570,-1.344530,-0.219232,-0.331106,-0.500630,-1.125298,-1.013424,-0.843899,0.362261,0.752708,0.488760,0.768791,0.478116,0.099054,0.379062,0.653654,0.389706,0.669737,0.263207,0.471073,0.115855,-0.274592,-0.010644,-0.290675,0.390447,0.126499,0.406530,0.160652,0.894600,0.747927,0.503584,-0.112317,-0.369703,0.257385,1.264303,1.117629,0.873286,0.530354,0.808592,-0.272969,-1.006918,-0.860244,-0.615901,0.733949,0.587275,0.342932

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1
1,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20150820a_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,79
2,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20151118a_3T1/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,79
3,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20151119a_3T1/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,79
4,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/207_FED_20160105b_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,79
5,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/338_FED_20160105d_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,79
6,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/301_FED_20160119a_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,79
7,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/214_FED_20160119b_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,79
8,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/348_FED_20160119c_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,79
9,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/349_FED_20160119d_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,79
10,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/343_FED_20160121d_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,79
