Contrast name:,Group (SamePath-Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.290094,0.146331,-1.982444,8.000000,0.958632,0.999699
2,1804,180,1.000000,-0.136699,0.108935,-1.254871,8.000000,0.877529,0.999699
3,785,78,1.000000,-0.077687,0.083115,-0.934696,8.000000,0.811352,0.999699
4,650,65,1.000000,-0.134405,0.076100,-1.766160,8.000000,0.942320,0.999699
5,1167,116,1.000000,-0.094340,0.095546,-0.987369,8.000000,0.823810,0.999699
6,327,32,1.000000,-0.137510,0.104410,-1.317018,8.000000,0.887848,0.999699
7,189,18,1.000000,-0.034069,0.118552,-0.287375,8.000000,0.609436,0.999699
8,547,54,1.000000,0.345223,0.203591,1.695670,8.000000,0.064196,0.467215
9,200,20,1.000000,-0.037284,0.261324,-0.142675,8.000000,0.554963,0.999699
10,89,8,1.000000,-0.121617,0.100728,-1.207384,8.000000,0.869117,0.999699
11,191,19,1.000000,0.354296,0.245452,1.443444,8.000000,0.093443,0.467215
12,36,3,1.000000,0.470304,0.232467,2.023097,8.000000,0.038842,0.467215
13,30,3,1.000000,0.040296,0.190884,0.211099,8.000000,0.419044,0.999699
14,15,1,1.000000,-0.102839,0.234878,-0.437840,8.000000,0.663458,0.999699
15,14,1,1.000000,-0.253834,0.046499,-5.458914,8.000000,0.999699,0.999699
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
