Contrast name:,Group (SamePath)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.118015,0.143485,-0.822486,8.000000,0.782686,0.973842
2,1804,180,1.000000,-0.213660,0.123166,-1.734731,8.000000,0.939495,0.973842
3,785,78,1.000000,-0.064335,0.063602,-1.011528,8.000000,0.829312,0.973842
4,650,65,1.000000,-0.044876,0.040854,-1.098441,8.000000,0.848016,0.973842
5,1167,116,1.000000,-0.234923,0.103172,-2.277006,8.000000,0.973842,0.973842
6,327,32,1.000000,0.362804,0.076629,4.734529,8.000000,0.000737,0.011057
7,189,18,1.000000,0.319943,0.104405,3.064432,8.000000,0.007739,0.058043
8,547,54,1.000000,0.117662,0.206717,0.569194,8.000000,0.292423,0.877270
9,200,20,1.000000,-0.096982,0.126008,-0.769649,8.000000,0.768187,0.973842
10,89,8,1.000000,-0.142379,0.219542,-0.648529,8.000000,0.732595,0.973842
11,191,19,1.000000,0.313754,0.198982,1.576794,8.000000,0.076747,0.340409
12,36,3,1.000000,0.232125,0.158637,1.463240,8.000000,0.090776,0.340409
13,30,3,1.000000,-0.123857,0.210036,-0.589695,8.000000,0.714165,0.973842
14,15,1,1.000000,-0.569247,0.310332,-1.834318,8.000000,0.948026,0.973842
15,14,1,1.000000,-0.174085,0.081078,-2.147121,8.000000,0.967969,0.973842
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
