Contrast name:,Group (DiffAll-Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.242510,0.168095,-1.442696,8.000000,0.906455,0.971202
2,1804,180,1.000000,-0.059491,0.077614,-0.766497,8.000000,0.767302,0.971202
3,785,78,1.000000,-0.031189,0.054373,-0.573610,8.000000,0.709003,0.971202
4,650,65,1.000000,-0.046270,0.057725,-0.801568,8.000000,0.777022,0.971202
5,1167,116,1.000000,-0.018870,0.086611,-0.217867,8.000000,0.583506,0.971202
6,327,32,1.000000,-0.167078,0.068274,-2.447169,8.000000,0.979943,0.979943
7,189,18,1.000000,-0.062285,0.069477,-0.896490,8.000000,0.801917,0.971202
8,547,54,1.000000,0.170114,0.155489,1.094060,8.000000,0.152886,0.605472
9,200,20,1.000000,0.364001,0.329186,1.105764,8.000000,0.150485,0.605472
10,89,8,1.000000,0.019664,0.228151,0.086190,8.000000,0.466717,0.971202
11,191,19,1.000000,0.236627,0.224625,1.053429,8.000000,0.161459,0.605472
12,36,3,1.000000,0.255392,0.236392,1.080376,8.000000,0.155733,0.605472
13,30,3,1.000000,0.073297,0.137780,0.531988,8.000000,0.304593,0.913779
14,15,1,1.000000,-0.125208,0.207499,-0.603417,8.000000,0.718528,0.971202
15,14,1,1.000000,-0.151234,0.132843,-1.138447,8.000000,0.856062,0.971202
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
