Contrast name:,Group (SameAg-SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.146247,0.125006,-1.169919,8.000000,0.862148,0.862148
2,1804,180,1.000000,0.055941,0.060852,0.919289,8.000000,0.192412,0.468945
3,785,78,1.000000,0.114310,0.067600,1.690982,8.000000,0.064652,0.246083
4,650,65,1.000000,0.029495,0.044330,0.665354,8.000000,0.262269,0.491755
5,1167,116,1.000000,0.140872,0.083227,1.692623,8.000000,0.064492,0.246083
6,327,32,1.000000,0.103567,0.087472,1.184000,8.000000,0.135198,0.405595
7,189,18,1.000000,0.264512,0.157342,1.681130,8.000000,0.065622,0.246083
8,547,54,1.000000,0.148570,0.181890,0.816812,8.000000,0.218841,0.468945
9,200,20,1.000000,-0.199156,0.294100,-0.677169,8.000000,0.741301,0.806716
10,89,8,1.000000,-0.214980,0.331101,-0.649289,8.000000,0.732828,0.806716
11,191,19,1.000000,0.422259,0.238424,1.771042,8.000000,0.057252,0.246083
12,36,3,1.000000,-0.018592,0.389326,-0.047754,8.000000,0.518459,0.777688
13,30,3,1.000000,0.015272,0.240213,0.063579,8.000000,0.475433,0.777688
14,15,1,1.000000,-0.212795,0.337218,-0.631032,8.000000,0.727189,0.806716
15,14,1,1.000000,-0.093398,0.130373,-0.716390,8.000000,0.752935,0.806716
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
