Contrast name:,Group (SameAg-Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.278778,0.159068,-1.752567,8.000000,0.941114,0.941114
2,1804,180,1.000000,-0.030136,0.085881,-0.350906,8.000000,0.632640,0.941114
3,785,78,1.000000,0.010759,0.066124,0.162708,8.000000,0.437392,0.937268
4,650,65,1.000000,-0.038853,0.055485,-0.700241,8.000000,0.748186,0.941114
5,1167,116,1.000000,0.033752,0.079666,0.423669,8.000000,0.341484,0.937268
6,327,32,1.000000,-0.002583,0.100394,-0.025729,8.000000,0.509948,0.941114
7,189,18,1.000000,0.055627,0.135743,0.409797,8.000000,0.346354,0.937268
8,547,54,1.000000,0.237240,0.197376,1.201972,8.000000,0.131872,0.937268
9,200,20,1.000000,-0.188663,0.171851,-1.097827,8.000000,0.847890,0.941114
10,89,8,1.000000,-0.234368,0.136146,-1.721453,8.000000,0.938263,0.941114
11,191,19,1.000000,0.298436,0.248550,1.200708,8.000000,0.132104,0.937268
12,36,3,1.000000,0.101425,0.329533,0.307784,8.000000,0.383054,0.937268
13,30,3,1.000000,0.096130,0.209268,0.459365,8.000000,0.329098,0.937268
14,15,1,1.000000,-0.052183,0.278107,-0.187635,8.000000,0.572083,0.941114
15,14,1,1.000000,-0.157838,0.120781,-1.306809,8.000000,0.886205,0.941114
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
