Contrast name:,Group (SameAll-Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.132531,0.126621,-1.046683,8.000000,0.837082,0.998750
2,1804,180,1.000000,-0.086077,0.038971,-2.208760,8.000000,0.970903,0.998750
3,785,78,1.000000,-0.103551,0.034283,-3.020518,8.000000,0.991727,0.998750
4,650,65,1.000000,-0.068347,0.027103,-2.521800,8.000000,0.982146,0.998750
5,1167,116,1.000000,-0.107120,0.027610,-3.879737,8.000000,0.997662,0.998750
6,327,32,1.000000,-0.106150,0.078005,-1.360808,8.000000,0.894665,0.998750
7,189,18,1.000000,-0.208886,0.048199,-4.333778,8.000000,0.998750,0.998750
8,547,54,1.000000,0.088671,0.192660,0.460245,8.000000,0.328796,0.998750
9,200,20,1.000000,0.010493,0.152501,0.068806,8.000000,0.473416,0.998750
10,89,8,1.000000,-0.019388,0.268642,-0.072169,8.000000,0.527880,0.998750
11,191,19,1.000000,-0.123823,0.268794,-0.460661,8.000000,0.671347,0.998750
12,36,3,1.000000,0.120017,0.307722,0.390017,8.000000,0.353351,0.998750
13,30,3,1.000000,0.080858,0.180649,0.447598,8.000000,0.333158,0.998750
14,15,1,1.000000,0.160613,0.242034,0.663596,8.000000,0.262803,0.998750
15,14,1,1.000000,-0.064441,0.112334,-0.573651,8.000000,0.709016,0.998750
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
