Contrast name:,Group (SameMan-SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,0.009281,0.137293,0.067601,8.000000,0.473881,0.710822
2,1804,180,1.000000,0.093344,0.087971,1.061086,8.000000,0.159816,0.299654
3,785,78,1.000000,0.110679,0.061784,1.791375,8.000000,0.055503,0.242906
4,650,65,1.000000,0.043633,0.054469,0.801062,8.000000,0.223116,0.371861
5,1167,116,1.000000,0.145619,0.102791,1.416655,8.000000,0.097162,0.242906
6,327,32,1.000000,0.140725,0.092472,1.521806,8.000000,0.083277,0.242906
7,189,18,1.000000,0.384240,0.097662,3.934393,8.000000,0.002165,0.032474
8,547,54,1.000000,0.249757,0.149037,1.675805,8.000000,0.066152,0.242906
9,200,20,1.000000,-0.051176,0.413017,-0.123909,8.000000,0.547778,0.746970
10,89,8,1.000000,-0.124240,0.271504,-0.457600,8.000000,0.670294,0.837868
11,191,19,1.000000,0.442405,0.307972,1.436508,8.000000,0.094394,0.242906
12,36,3,1.000000,0.362770,0.293467,1.236153,8.000000,0.125732,0.269425
13,30,3,1.000000,-0.284272,0.279764,-1.016112,8.000000,0.830341,0.958086
14,15,1,1.000000,-0.341698,0.240197,-1.422575,8.000000,0.903670,0.968218
15,14,1,1.000000,-0.327662,0.141453,-2.316402,8.000000,0.975403,0.975403
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
