Contrast name:,Group (SameAg)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.106699,0.163974,-0.650706,8.000000,0.733262,0.899050
2,1804,180,1.000000,-0.107097,0.092260,-1.160814,8.000000,0.860409,0.899050
3,785,78,1.000000,0.024111,0.053236,0.452915,8.000000,0.331321,0.899050
4,650,65,1.000000,0.050676,0.053198,0.952605,8.000000,0.184341,0.691278
5,1167,116,1.000000,-0.106831,0.095337,-1.120569,8.000000,0.852510,0.899050
6,327,32,1.000000,0.497731,0.065477,7.601616,8.000000,0.000031,0.000472
7,189,18,1.000000,0.409638,0.115330,3.551871,8.000000,0.003744,0.028084
8,547,54,1.000000,0.009679,0.170457,0.056782,8.000000,0.478056,0.899050
9,200,20,1.000000,-0.248360,0.180626,-1.374994,8.000000,0.896796,0.899050
10,89,8,1.000000,-0.255130,0.216815,-1.176721,8.000000,0.863435,0.899050
11,191,19,1.000000,0.257894,0.229451,1.123963,8.000000,0.146811,0.691278
12,36,3,1.000000,-0.136754,0.300946,-0.454413,8.000000,0.669196,0.899050
13,30,3,1.000000,-0.068022,0.210998,-0.322384,8.000000,0.622287,0.899050
14,15,1,1.000000,-0.518590,0.373011,-1.390281,8.000000,0.899050,0.899050
15,14,1,1.000000,-0.078089,0.082588,-0.945516,8.000000,0.813963,0.899050
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
