Contrast name:,Group (Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,0.172079,0.103412,1.664012,8.000000,0.067339,0.336696
2,1804,180,1.000000,-0.076960,0.073210,-1.051235,8.000000,0.838067,0.962302
3,785,78,1.000000,0.013352,0.053500,0.249576,8.000000,0.404602,0.962302
4,650,65,1.000000,0.089529,0.067239,1.331498,8.000000,0.109857,0.411964
5,1167,116,1.000000,-0.140584,0.074668,-1.882788,8.000000,0.951755,0.962302
6,327,32,1.000000,0.500314,0.117243,4.267341,8.000000,0.001367,0.020505
7,189,18,1.000000,0.354011,0.162122,2.183614,8.000000,0.030260,0.226952
8,547,54,1.000000,-0.227561,0.114543,-1.986696,8.000000,0.958904,0.962302
9,200,20,1.000000,-0.059697,0.177757,-0.335837,8.000000,0.627184,0.962302
10,89,8,1.000000,-0.020762,0.165668,-0.125325,8.000000,0.548321,0.962302
11,191,19,1.000000,-0.040542,0.203850,-0.198881,8.000000,0.576341,0.962302
12,36,3,1.000000,-0.238179,0.116618,-2.042378,8.000000,0.962302,0.962302
13,30,3,1.000000,-0.164153,0.251045,-0.653878,8.000000,0.734234,0.962302
14,15,1,1.000000,-0.466408,0.355083,-1.313518,8.000000,0.887287,0.962302
15,14,1,1.000000,0.079750,0.102231,0.780091,8.000000,0.228897,0.686691
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
