Contrast name:,Group (SameMan)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,0.048829,0.148125,0.329648,8.000000,0.375066,0.703249
2,1804,180,1.000000,-0.069693,0.061296,-1.136981,8.000000,0.855773,0.959377
3,785,78,1.000000,0.020480,0.042355,0.483535,8.000000,0.320836,0.687507
4,650,65,1.000000,0.064815,0.049431,1.311208,8.000000,0.113085,0.303759
5,1167,116,1.000000,-0.102084,0.057763,-1.767294,8.000000,0.942420,0.959377
6,327,32,1.000000,0.534889,0.128855,4.151109,8.000000,0.001602,0.024031
7,189,18,1.000000,0.529366,0.230355,2.298041,8.000000,0.025313,0.152079
8,547,54,1.000000,0.110867,0.087954,1.260508,8.000000,0.121503,0.303759
9,200,20,1.000000,-0.100381,0.133790,-0.750287,8.000000,0.762716,0.959377
10,89,8,1.000000,-0.164390,0.203740,-0.806861,8.000000,0.778464,0.959377
11,191,19,1.000000,0.278040,0.127522,2.180324,8.000000,0.030416,0.152079
12,36,3,1.000000,0.244608,0.162588,1.504465,8.000000,0.085437,0.303759
13,30,3,1.000000,-0.367566,0.294669,-1.247386,8.000000,0.876233,0.959377
14,15,1,1.000000,-0.647493,0.324692,-1.994175,8.000000,0.959377,0.959377
15,14,1,1.000000,-0.312353,0.165323,-1.889346,8.000000,0.952239,0.959377
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
