Contrast name:,Group (SameMan-Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.123250,0.169034,-0.729144,8.000000,0.756646,0.912304
2,1804,180,1.000000,0.007268,0.099126,0.073316,8.000000,0.471677,0.884395
3,785,78,1.000000,0.007128,0.063675,0.111943,8.000000,0.456813,0.884395
4,650,65,1.000000,-0.024714,0.059401,-0.416058,8.000000,0.655848,0.912304
5,1167,116,1.000000,0.038499,0.089298,0.431130,8.000000,0.338878,0.884395
6,327,32,1.000000,0.034575,0.134479,0.257101,8.000000,0.401795,0.884395
7,189,18,1.000000,0.175355,0.123905,1.415240,8.000000,0.097363,0.486813
8,547,54,1.000000,0.338428,0.126762,2.669791,8.000000,0.014186,0.146543
9,200,20,1.000000,-0.040683,0.294106,-0.138329,8.000000,0.553300,0.912304
10,89,8,1.000000,-0.143628,0.128760,-1.115471,8.000000,0.851484,0.912304
11,191,19,1.000000,0.318582,0.271028,1.175460,8.000000,0.136803,0.513011
12,36,3,1.000000,0.482787,0.195941,2.463937,8.000000,0.019539,0.146543
13,30,3,1.000000,-0.203414,0.277865,-0.732060,8.000000,0.757489,0.912304
14,15,1,1.000000,-0.181085,0.176996,-1.023104,8.000000,0.831901,0.912304
15,14,1,1.000000,-0.392103,0.160550,-2.442251,8.000000,0.979789,0.979789
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
